Log Message,Sequenced Largest Group,Group Size
api/v1/app/health/score/get - generating output,"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
api/v1/app/health/score/get - Request END -- [<NUM>],"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>],"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>],"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>],"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - with uptime_range as (,"['com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - with uptime_range as (', 'com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]']",10
com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - START - ConcurrentTask,"['com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - START - ConcurrentTask', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - START - ConcurrentTask', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - with uptime_range as (', 'com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output']",9
com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - START - ConcurrentTask,"['com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz', 'api/v1/app/health/score/get - reading input - payload, query params and path vars', 'api/v1/app/health/score/get - performing input validation', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - START - ConcurrentTask']",9
com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - START - ConcurrentTask,"['com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - START - ConcurrentTask', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - with uptime_range as (', 'com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]']",9
com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - START - ConcurrentTask,"['com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - START - ConcurrentTask', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - with uptime_range as (', 'com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]']",9
com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - START - ConcurrentTask,"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - START - ConcurrentTask', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - START - ConcurrentTask', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - START - ConcurrentTask', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - with uptime_range as (', 'com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]']",9
api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>],"['runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz', 'api/v1/alert/list - reading input - payload, query params and path vars', 'api/v1/alert/list - performing input validation', 'api/v1/alert/list - generating output', 'api/v1/alert/list - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz']",10
api/v1/alert/list - Checking user authz,"['runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz', 'api/v1/alert/list - reading input - payload, query params and path vars', 'api/v1/alert/list - performing input validation', 'api/v1/alert/list - generating output', 'api/v1/alert/list - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz']",10
runtime - Request received for endpoint: [lcl/api/v1/app/instance/list],"['com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/instance/list]', 'api/v1/app/instance/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/instance/list][en_US][<NUM>]', 'api/v1/app/instance/list - Checking user authz']",9
api/v1/app/instance/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/instance/list][en_US][<NUM>],"['com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/instance/list]', 'api/v1/app/instance/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/instance/list][en_US][<NUM>]', 'api/v1/app/instance/list - Checking user authz']",9
"api/v1/app/instance/list - reading input - payload, query params and path vars","['com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/instance/list]', 'api/v1/app/instance/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/instance/list][en_US][<NUM>]', 'api/v1/app/instance/list - Checking user authz', 'api/v1/app/instance/list - reading input - payload, query params and path vars', 'api/v1/app/instance/list - performing input validation']",9
api/v1/app/instance/list - performing input validation,"['com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/instance/list]', 'api/v1/app/instance/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/instance/list][en_US][<NUM>]', 'api/v1/app/instance/list - Checking user authz', 'api/v1/app/instance/list - reading input - payload, query params and path vars', 'api/v1/app/instance/list - performing input validation']",9
api/v1/app/instance/list - Checking user authz,"['com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/instance/list]', 'api/v1/app/instance/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/instance/list][en_US][<NUM>]', 'api/v1/app/instance/list - Checking user authz']",9
api/v1/app/instance/list - generating output,"['com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/instance/list]', 'api/v1/app/instance/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/instance/list][en_US][<NUM>]', 'api/v1/app/instance/list - Checking user authz', 'api/v1/app/instance/list - reading input - payload, query params and path vars', 'api/v1/app/instance/list - performing input validation', 'api/v1/app/instance/list - generating output']",9
api/v1/alert/list - Request END -- [<NUM>],"['runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz', 'api/v1/alert/list - reading input - payload, query params and path vars', 'api/v1/alert/list - performing input validation', 'api/v1/alert/list - generating output', 'api/v1/alert/list - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz']",10
"api/v1/alert/list - reading input - payload, query params and path vars","['runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz', 'api/v1/alert/list - reading input - payload, query params and path vars', 'api/v1/alert/list - performing input validation', 'api/v1/alert/list - generating output', 'api/v1/alert/list - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz']",10
api/v1/alert/list - performing input validation,"['runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz', 'api/v1/alert/list - reading input - payload, query params and path vars', 'api/v1/alert/list - performing input validation', 'api/v1/alert/list - generating output', 'api/v1/alert/list - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz']",10
api/v1/alert/list - generating output,"['runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz', 'api/v1/alert/list - reading input - payload, query params and path vars', 'api/v1/alert/list - performing input validation', 'api/v1/alert/list - generating output', 'api/v1/alert/list - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'api/v1/alert/list - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/alert/list][en_US][<NUM>]', 'api/v1/alert/list - Checking user authz']",10
